"","SampleID","Cluster_num"
"TX.0002.BAL.RML.DL.2","TX.0002.BAL.RML.DL.2","2"
"TX.0003.BAL.RLL.DL.2","TX.0003.BAL.RLL.DL.2",NA
"TX.0004.BAL.RML.DL.2","TX.0004.BAL.RML.DL.2","1"
"TX.0005.BAL.RML.DL.2","TX.0005.BAL.RML.DL.2",NA
"TX.0006.BAL.Lingula.DL.3","TX.0006.BAL.Lingula.DL.3",NA
"TX.0007.BAL.RLL.DL.2","TX.0007.BAL.RLL.DL.2","1"
"TX.0010.BAL.RLL.DL.1","TX.0010.BAL.RLL.DL.1","2"
"TX.0012.BAL.RML.DL.2","TX.0012.BAL.RML.DL.2",NA
"TX.0013.BAL.RLL.DL.1","TX.0013.BAL.RLL.DL.1","2"
"TX.0015.BAL.RML.DL.2","TX.0015.BAL.RML.DL.2","2"
"TX.0016.BAL.RML.DL.2","TX.0016.BAL.RML.DL.2","2"
"TX.0019.BAL.RLL.DL.2","TX.0019.BAL.RLL.DL.2","2"
"TX.0020.BAL.RML.DL.2","TX.0020.BAL.RML.DL.2","1"
"TX.0022.BAL.RML.DL.2","TX.0022.BAL.RML.DL.2",NA
"TX.0023.BAL.RML.DL.2","TX.0023.BAL.RML.DL.2","2"
"TX.0024.BAL.RML.DL.2","TX.0024.BAL.RML.DL.2",NA
"TX.0025.BAL.RML.DL.2","TX.0025.BAL.RML.DL.2","1"
"TX.0026.BAL.RML.DL.2","TX.0026.BAL.RML.DL.2",NA
"TX.0027.BAL.RML.DL.2","TX.0027.BAL.RML.DL.2","2"
"TX.0028.BAL.RML.DL.2","TX.0028.BAL.RML.DL.2","2"
"TX.0029.BAL.RML.DL.2","TX.0029.BAL.RML.DL.2",NA
"TX.0030.BAL.RML.DL.2","TX.0030.BAL.RML.DL.2",NA
"TX.0032.BAL.RML.DL.2","TX.0032.BAL.RML.DL.2",NA
"TX.0033.BAL.RML.DL.2","TX.0033.BAL.RML.DL.2","2"
"TX.0034.BAL.Lingula.DL.2","TX.0034.BAL.Lingula.DL.2","2"
"TX.0035.BAL.RML.DL.2","TX.0035.BAL.RML.DL.2","1"
"TX.0036.BAL.RML.DL.2","TX.0036.BAL.RML.DL.2",NA
"TX.0037.BAL.RML.DL.2","TX.0037.BAL.RML.DL.2","2"
"TX.0038.BAL.RLL.DL.2","TX.0038.BAL.RLL.DL.2","1"
"TX.0039.BAL.RML.DL.1","TX.0039.BAL.RML.DL.1",NA
"TX.0040.BAL.RML.DL.2","TX.0040.BAL.RML.DL.2","2"
"TX.0041.BAL.RML.DL.1","TX.0041.BAL.RML.DL.1","2"
"TX.0042.BAL.RML.DL.1","TX.0042.BAL.RML.DL.1","2"
"TX.0043.BAL.RML.DL.2","TX.0043.BAL.RML.DL.2",NA
"TX.0044.BAL.RML.DL.2","TX.0044.BAL.RML.DL.2","2"
"TX.0045.BAL.RML.DL.1","TX.0045.BAL.RML.DL.1","1"
"TX.0046.BAL.RLL.DL.2","TX.0046.BAL.RLL.DL.2","2"
"TX.0047.BAL.RML.DL.2","TX.0047.BAL.RML.DL.2","2"
"TX.0048.BAL.RML.DL.2","TX.0048.BAL.RML.DL.2","2"
"TX.0049.BAL.RML.DL.2","TX.0049.BAL.RML.DL.2","1"
"TX.0050.BAL.RLL.DL.2","TX.0050.BAL.RLL.DL.2","2"
"TX.0051.BAL.RLL.DL.2","TX.0051.BAL.RLL.DL.2",NA
"TX.0052.BAL.RML.DL.2","TX.0052.BAL.RML.DL.2",NA
"TX.0053.BAL.RML.DL.2","TX.0053.BAL.RML.DL.2","2"
"TX.0054.BAL.RML.DL.2","TX.0054.BAL.RML.DL.2",NA
"TX.0055.BAL.RML.DL.2","TX.0055.BAL.RML.DL.2",NA
"TX.0056.BAL.RML.DL.2","TX.0056.BAL.RML.DL.2","2"
"TX.0058.BAL.RML.DL.2","TX.0058.BAL.RML.DL.2","2"
