"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"cb981807926c29aca78f3a146fded24e","Bacteria","NC10","12-24","Methylomirabiliales","Methylomirabiliaceae","Candidatus Methylomirabilis",NA
"3df1f47fd5e0070d140ffaf068fc605e","Bacteria","Gemmatimonadetes","Gemm-1",NA,NA,NA,NA
"e37028dc222bbf872189d111c1da7f07","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales",NA,NA,NA
"7062e9fff43edb69ad4a38c3108d2cee","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","A1-B1",NA,NA
"7b9a5923161790d0c21a6f4bdd256afe","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"1a0f6a1806346bae2f03d16f7fb2782d","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Thermoanaerobacterium",NA
"55fbcc6369590a5ee2b297f400ed3dc1","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21",NA,NA
"15eb8e8b97cdb718203e33421dcf961a","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae",NA,NA
"dc6a95dd8f0ff95afd4fb8e65cc46a7f","Bacteria","Acidobacteria","Acidobacteria-5",NA,NA,NA,NA
"f4466c3eadf276fc985fd27061b03092","Bacteria","Acidobacteria","Acidobacteria-6","CCU21",NA,NA,NA
"6b50e1149d396a0cb6b778f8295541dd","Bacteria","Acidobacteria","BPC102",NA,NA,NA,NA
"390a9f5bd8f04b89ab32b6ddf1674901","Bacteria","Acidobacteria","Acidobacteria-6",NA,NA,NA,NA
"006b3282349b1bab462aa140e9510ea4","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","mb2424",NA,NA
"30200ebd6e6c4ad364c62f14042c240c","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15",NA,NA,NA
"4f83f22b6173cd1086143e82c589f923","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","RB40",NA,NA
"831329850762d34b1f79f9a20208ef10","Bacteria","Planctomycetes","OM190","agg27",NA,NA,NA
